testDataTimeStamps,i,a,list_predict_future,list_actual_future,list_loss_future,list_loss_past
2020-04-12,7,5,3.1250291441297318,1.0,2.3176475755958217,0.1378199688903253
2020-04-12,7,6,2.462110591057926,1.0,1.47858098529856,0.07989983366837608
2020-04-12,9,1,4.350652899943537,1.0,3.3506528999435368,0.1398982344724012
2020-04-12,9,2,4.126938466271457,1.0,3.126938466271458,0.12790017407031185
2020-04-12,9,3,3.5783200248873515,1.0,2.5783200248873515,0.12211044931676866
2020-04-12,9,4,3.046811217641382,1.0,2.0468112176413813,0.152379706529708
2020-04-12,9,5,3.013193148165152,1.0,2.2131931481651517,0.12363846983758534
2020-04-12,9,6,2.7751569142487735,1.0,1.7751569142487735,0.0811446351538476
2020-04-12,12,1,4.566904043607853,1.0,3.5669040436078543,0.128112433846315
2020-04-12,12,2,4.5757637720179325,1.0,3.5757637720179316,0.13476081237811527
2020-04-12,12,3,3.0767259860313123,1.0,2.0767259860313128,0.11665059920361412
2020-04-12,12,4,3.3413750582572295,1.0,2.3413750582572295,0.13751131995719312
2020-04-12,12,5,2.782481770510823,1.0,2.0095704537425005,0.23671718216828067
2020-04-12,12,6,4.713871209097369,1.0,3.713871209097369,0.12073053967826275
2020-04-12,15,1,4.0747200989404915,1.0,3.0747200989404915,0.10749998986877587
2020-04-12,15,2,4.25337760684954,1.0,3.310281778618697,0.1324235742412387
2020-04-12,15,3,4.863936482913703,1.0,3.863936482913703,0.16552981390252625
2020-04-12,15,4,4.1152434985163,1.0,3.1152434985163,0.0964657985027641
2020-04-12,15,5,4.721433130750445,1.0,3.7214331307504454,0.1712353076384837
2020-04-12,15,6,3.1724530574444283,1.0,2.2068732691947983,0.11764219636872554
2020-04-12,30,1,3.874951422437816,1.0,2.874951422437816,0.10281210125372525
2020-04-12,30,2,3.7119649489791176,1.0,2.7119649489791176,0.12127991909920094
2020-04-12,30,3,2.9392400053099843,1.0,1.9392400053099843,0.09146671435590115
2020-04-12,30,4,3.2541157220027346,1.0,2.2541157220027346,0.11470431141480869
2020-04-12,30,5,3.472506790792284,1.0,2.4725067907922833,0.16159554150691044
2020-04-12,30,6,3.7159662552033637,1.0,2.715966255203364,0.09896106747358077
2020-04-13,1,1,4.374549181247558,10.0,5.625450818752443,0.06284359418375046
2020-04-13,1,2,4.373391719639905,10.0,5.626608280360096,0.08174421549465442
2020-04-13,1,3,4.546939309500765,10.0,5.453060690499235,0.0844676000996013
2020-04-13,1,4,4.368012637166717,10.0,5.631987362833284,0.20678281642735996
2020-04-13,1,5,4.204136884998211,10.0,5.79586311500179,0.08291142072678985
2020-04-13,1,6,4.322196013887556,10.0,5.677803986112444,0.08325234713480467
2020-04-13,3,1,4.383848492345752,10.0,5.616151507654246,0.07819537624914631
2020-04-13,3,2,3.792607718712338,10.0,6.207392281287661,0.10880461120067556
2020-04-13,3,3,3.9819833204363437,10.0,6.018016679563656,0.1960605462966711
2020-04-13,3,4,4.313240116687005,10.0,5.6867598833129955,0.20640692427936713
2020-04-13,3,5,3.7305630530416334,10.0,6.269436946958367,0.10088187207850476
2020-04-13,3,6,3.8886194470663282,10.0,6.111380552933672,0.19110087989703184
2020-04-13,5,1,3.698804438213762,10.0,6.301195561786237,0.08344010241366884
2020-04-13,5,2,3.429429162558639,10.0,6.570570837441362,0.13771918132317068
2020-04-13,5,3,3.766767150279628,10.0,6.2332328497203715,0.26966560193128736
2020-04-13,5,4,4.356387417823986,10.0,5.643612582176015,0.13046381208647168
2020-04-13,5,5,4.03406906690711,10.0,5.9659309330928885,0.07348408458975599
2020-04-13,5,6,4.639976682208742,10.0,5.36002331779126,0.12980167260393183
2020-04-13,7,1,4.507028202283946,10.0,5.492971797716054,0.14754467111688416
2020-04-13,7,2,4.209618582618532,10.0,5.790381417381468,0.08271737814681841
2020-04-13,7,3,4.022436590654177,10.0,5.977563409345823,0.08552711736509663
2020-04-13,7,4,3.797052671649869,10.0,6.202947328350131,0.18892448852543436
2020-04-13,7,5,3.865636776486921,10.0,6.134363223513079,0.1676558971898484
2020-04-13,7,6,4.330718985249661,10.0,5.669281014750339,0.0707123368550513
2020-04-13,9,1,3.9346864760566476,10.0,6.065313523943353,0.22471587976350155
2020-04-13,9,2,4.626851605329017,10.0,5.373148394670984,0.13010766183770597
2020-04-13,9,3,4.095116539143805,10.0,5.904883460856194,0.14152016436531956
2020-04-13,9,4,4.578809278635665,10.0,5.421190721364335,0.11934494695765879
2020-04-13,9,5,4.684899929578101,10.0,5.3954312350107045,0.12480612018283235
2020-04-13,9,6,4.067081460876049,10.0,5.93291853912395,0.09363086908820822
2020-04-13,12,1,3.4576031826037656,10.0,6.542396817396234,0.18075967053962688
2020-04-13,12,2,3.7744209417502743,10.0,6.225579058249725,0.29605695805089643
2020-04-13,12,3,3.9126435415782197,10.0,6.08735645842178,0.08391592455607438
2020-04-13,12,4,4.340105687279362,10.0,5.659894312720638,0.2083859248694474
2020-04-13,12,5,4.468957502431592,10.0,6.161863657100307,0.3545465407163381
2020-04-13,12,6,4.386248774094186,10.0,5.613751225905814,0.1381830073880371
2020-04-13,15,1,3.591335921409941,10.0,6.408664078590059,0.14380440562644298
2020-04-13,15,2,3.483585020366877,10.0,6.516414979633124,0.16920512657886094
2020-04-13,15,3,4.485833617452271,10.0,5.514166382547728,0.2715760631837787
2020-04-13,15,4,4.428397575474774,10.0,5.571602424525226,0.10158387672082324
2020-04-13,15,5,4.820526531662734,10.0,5.1794734683372665,0.1789638168061648
2020-04-13,15,6,4.571489706006787,10.0,5.428510293993212,0.13022983279853942
2020-04-13,30,1,4.025468660159957,10.0,5.974531339840043,0.10156416893989498
2020-04-13,30,2,3.8453809147411198,10.0,6.154619085258879,0.1042334820723406
